"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2857","test_positive_order[\u0413\u0430\u0440\u0440\u0438-\u041f\u043e\u0442\u0442\u0435\u0440-\u0422\u0438\u0441\u043e\u0432\u0430\u044f \u0443\u043b., \u0434. 4-\u0411\u043e\u0442\u0430\u043d\u0438\u0447\u0435\u0441\u043a\u0438\u0439 \u0441\u0430\u0434-87777777777-bottom]","tests","2026-05-19","passed","2026-05-19","TestPositiveOrder","test_positive_order","",""
"","1824","test_yandex_logo_redirect","tests","2026-05-19","passed","2026-05-19","TestLogos","test_logos","",""
"Тест проверяет, что при клике на вопрос раскрывается правильный ответ","1565","Проверка раскрытия вопроса в аккордеоне","tests","2026-05-19","passed","2026-05-19","","test_accordion_questions","",""
"","1366","test_scooter_logo_redirect","tests","2026-05-19","passed","2026-05-19","TestLogos","test_logos","",""
"","3049","test_positive_order[\u041a\u0430\u0442\u044f-\u0422\u0435\u0441\u0442\u043e\u0432\u0430-\u0443\u043b. \u0422\u0435\u0441\u0442\u043e\u0432\u0430\u044f, \u0434.10-\u0411\u043e\u0442\u0430\u043d\u0438\u0447\u0435\u0441\u043a\u0438\u0439 \u0441\u0430\u0434-89001234567-bottom]","tests","2026-05-19","passed","2026-05-19","TestPositiveOrder","test_positive_order","",""
"Тест проверяет, что при клике на вопрос раскрывается правильный ответ","1896","Проверка раскрытия вопроса в аккордеоне","tests","2026-05-19","passed","2026-05-19","","test_accordion_questions","",""
"Тест проверяет, что при клике на вопрос раскрывается правильный ответ","1695","Проверка раскрытия вопроса в аккордеоне","tests","2026-05-19","passed","2026-05-19","","test_accordion_questions","",""
"Тест проверяет, что при клике на вопрос раскрывается правильный ответ","1813","Проверка раскрытия вопроса в аккордеоне","tests","2026-05-19","passed","2026-05-19","","test_accordion_questions","",""
"","3485","test_positive_order[\u0413\u0430\u0440\u0440\u0438-\u041f\u043e\u0442\u0442\u0435\u0440-\u0422\u0438\u0441\u043e\u0432\u0430\u044f \u0443\u043b., \u0434. 4-\u0411\u043e\u0442\u0430\u043d\u0438\u0447\u0435\u0441\u043a\u0438\u0439 \u0441\u0430\u0434-87777777777-top]","tests","2026-05-19","passed","2026-05-19","TestPositiveOrder","test_positive_order","",""
"","2982","test_positive_order[\u041a\u0430\u0442\u044f-\u0422\u0435\u0441\u0442\u043e\u0432\u0430-\u0443\u043b. \u0422\u0435\u0441\u0442\u043e\u0432\u0430\u044f, \u0434.10-\u0411\u043e\u0442\u0430\u043d\u0438\u0447\u0435\u0441\u043a\u0438\u0439 \u0441\u0430\u0434-89001234567-top]","tests","2026-05-19","passed","2026-05-19","TestPositiveOrder","test_positive_order","",""
"Тест проверяет, что при клике на вопрос раскрывается правильный ответ","2100","Проверка раскрытия вопроса в аккордеоне","tests","2026-05-19","passed","2026-05-19","","test_accordion_questions","",""
"Тест проверяет, что при клике на вопрос раскрывается правильный ответ","1946","Проверка раскрытия вопроса в аккордеоне","tests","2026-05-19","passed","2026-05-19","","test_accordion_questions","",""
"Тест проверяет, что при клике на вопрос раскрывается правильный ответ","1741","Проверка раскрытия вопроса в аккордеоне","tests","2026-05-19","passed","2026-05-19","","test_accordion_questions","",""
"Тест проверяет, что при клике на вопрос раскрывается правильный ответ","2040","Проверка раскрытия вопроса в аккордеоне","tests","2026-05-19","passed","2026-05-19","","test_accordion_questions","",""
